side,cluster,cluster_name,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,OID_,GEOID10_1,STATEFP1_1,COUNTYFP_1,TRACTCE1_1,POP2010,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,POP_HH,POP_GQ_INS,POP_GQ_NON,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,GEOJOIN,TractOK,Geoid,Shape_Length,Shape_Area
North/Northwest,1,Waukegan area,1,17,97,866100,17097866100,8661,Census Tract 8661,G5020,S,1700347,9197,42.381426,-87.8531228,1778,17097866100,17,97,866100,3556,1290,846,62,58,0,1145,155,2203,1713,1843,350,806,226,435,580,410,447,302,29.1,27.7,30.8,3398,126,32,1024,3.32,85,109,260,153,70,166,774,3.78,1109,85,407,617,17097866100,866100,17097866100,24785.37839,18401092.44
North/Northwest,1,Waukegan area,2,17,97,862700,17097862700,8627,Census Tract 8627,G5020,S,936744,0,42.3468714,-87.8406532,1698,17097862700,17,97,862700,4323,1252,910,68,20,1,1882,190,3310,2204,2119,483,1095,286,582,681,489,473,234,26,26.2,25.8,4286,0,37,1025,4.18,67,58,333,158,68,127,844,4.37,1192,167,445,580,17097862700,862700,17097862700,13871.00526,10082873.98
North/Northwest,1,Waukegan area,3,17,97,862502,17097862502,8625.02,Census Tract 8625.02,G5020,S,1258322,0,42.3412168,-87.8504312,1694,17097862502,17,97,862502,2532,1116,565,26,17,1,735,72,1532,1359,1173,195,556,143,292,339,390,440,177,32.4,34.6,29.8,2100,208,224,507,4.14,32,38,185,93,24,50,426,4.42,557,50,385,122,17097862502,862502,17097862502,16433.20972,13544274.26
North/Northwest,1,Waukegan area,4,17,97,862501,17097862501,8625.01,Census Tract 8625.01,G5020,S,1182516,0,42.3536722,-87.8507336,1693,17097862501,17,97,862501,3992,1932,354,65,28,0,1482,131,3333,2088,1904,348,974,261,497,611,602,474,225,28.7,27.6,29.7,3992,0,0,1014,3.94,79,71,403,192,46,76,818,4.29,1099,85,705,309,17097862501,862501,17097862501,15192.9501,12728276.07
North/Northwest,1,Waukegan area,5,17,97,862402,17097862402,8624.02,Census Tract 8624.02,G5020,S,796895,0,42.357421,-87.8408361,1692,17097862402,17,97,862402,3341,1408,424,63,12,9,1270,155,2717,1763,1578,352,800,204,440,518,452,421,154,28,28.5,27.2,3335,6,0,866,3.85,102,60,273,121,39,116,647,4.29,967,101,369,497,17097862402,862402,17097862402,15532.01438,8577597.44
North/Northwest,1,Waukegan area,6,17,97,862100,17097862100,8621,Census Tract 8621,G5020,S,1398462,0,42.3770598,-87.8412341,1688,17097862100,17,97,862100,5159,2534,1077,52,49,5,1197,245,2905,2662,2497,495,1165,334,633,801,703,717,311,29.5,27.9,30.9,5154,0,5,1624,3.17,190,167,380,301,77,240,1177,3.69,1823,199,859,765,17097862100,862100,17097862100,19545.65132,15052731.29
North/Northwest,1,Waukegan area,7,17,97,862000,17097862000,8620,Census Tract 8620,G5020,S,1652739,0,42.3685332,-87.8534658,1687,17097862000,17,97,862000,5844,2621,877,66,114,0,1952,214,3992,2992,2852,485,1380,380,658,944,769,809,419,30.3,29.5,31.3,5844,0,0,1662,3.52,154,148,520,327,62,174,1288,3.95,1836,174,1113,549,17097862000,862000,17097862000,25512.98463,17789592.32
North/Northwest,1,Waukegan area,8,17,97,862401,17097862401,8624.01,Census Tract 8624.01,G5020,S,860341,0,42.3656709,-87.8405171,1691,17097862401,17,97,862401,3766,1787,548,70,37,1,1103,220,2583,1867,1899,357,790,221,552,599,455,481,311,29.6,29.3,29.9,3761,0,5,1252,3,201,221,268,188,55,135,755,3.9,1408,156,410,842,17097862401,862401,17097862401,17696.42246,9260536.465
North/Northwest,1,Waukegan area,9,17,97,862603,17097862603,8626.03,Census Tract 8626.03,G5020,S,2923479,0,42.3649121,-87.8703914,1695,17097862603,17,97,862603,6809,2976,1228,63,392,4,1874,272,3911,3448,3361,602,1334,381,887,1076,913,1042,574,31.8,31,32.8,6809,0,0,2268,3,285,251,528,488,107,234,1610,3.53,2425,157,1222,1046,17097862603,862603,17097862603,23691.26351,31467492.88
North/Northwest,1,Waukegan area,10,17,97,861804,17097861804,8618.04,Census Tract 8618.04,G5020,S,1296275,0,42.3847661,-87.8602936,1684,17097861804,17,97,861804,3680,1831,566,54,110,1,944,174,2392,1830,1850,395,904,202,456,553,456,466,248,27.9,26.6,29.1,3680,0,0,1102,3.34,94,102,325,208,65,150,868,3.74,1228,126,606,496,17097861804,861804,17097861804,15837.87295,13952761.99
